,Goals,HomeTeam,ShotsFor,ShotsAgainst,ShotsOnTargetFor,ShotsOnTargetAgainst,FoulsFor,FoulsAgainst,CornersFor,CornersAgainst,YellowsFor,YellowsAgainst,RedsFor,RedsAgainst
443,0,0,12,9,4,5,15,18,2,2,3,2,0,0
444,3,1,22,5,10,0,12,6,10,0,4,4,0,1
445,0,0,5,22,0,10,6,12,0,10,4,4,1,0
446,1,1,8,8,1,3,14,22,2,4,3,3,0,0
447,1,0,8,8,3,1,22,14,4,2,3,3,0,0
448,1,1,6,10,3,2,16,19,2,3,4,6,0,0
449,0,0,10,6,2,3,19,16,3,2,6,4,0,0
450,1,1,12,7,7,3,26,15,1,7,6,2,0,0
451,0,0,7,12,3,7,15,26,7,1,2,6,0,0
452,2,1,14,6,4,3,7,15,4,4,2,2,0,1
453,1,0,6,14,3,4,15,7,4,4,2,2,1,0
454,1,1,14,17,4,7,11,15,4,3,2,2,0,0
455,4,0,17,14,7,4,15,11,3,4,2,2,0,0
456,2,1,13,12,7,4,16,14,3,4,3,2,0,0
457,1,0,12,13,4,7,14,16,4,3,2,3,0,0
458,2,1,7,10,3,6,21,17,0,8,5,5,1,1
459,3,0,10,7,6,3,17,21,8,0,5,5,1,1
460,2,1,9,8,3,3,12,16,11,4,3,3,0,0
461,2,0,8,9,3,3,16,12,4,11,3,3,0,0
462,1,1,14,10,6,0,16,15,8,5,0,2,0,0
463,0,0,10,14,0,6,15,16,5,8,2,0,0,0
464,2,1,12,7,5,2,12,30,2,3,3,2,0,0
465,1,0,7,12,2,5,30,12,3,2,2,3,0,0
466,2,1,14,11,6,2,15,15,5,10,3,1,0,0
467,1,0,11,14,2,6,15,15,10,5,1,3,0,0
468,2,1,11,6,5,4,19,13,10,5,3,2,0,0
469,1,0,6,11,4,5,13,19,5,10,2,3,0,0
470,2,1,18,5,6,3,17,9,9,2,3,4,0,1
471,2,0,5,18,3,6,9,17,2,9,4,3,1,0
472,0,1,11,3,1,2,15,20,4,2,5,3,0,1
473,0,0,3,11,2,1,20,15,2,4,3,5,1,0
474,0,1,12,6,2,2,14,20,4,0,4,4,0,0
475,1,0,6,12,2,2,20,14,0,4,4,4,0,0
476,2,1,15,5,4,3,10,10,9,3,2,2,0,0
477,2,0,5,15,3,4,10,10,3,9,2,2,0,0
478,3,1,19,11,6,4,13,12,7,1,2,1,0,0
479,3,0,11,19,4,6,12,13,1,7,1,2,0,0
480,1,1,3,11,1,2,13,17,2,9,3,3,1,0
481,0,0,11,3,2,1,17,13,9,2,3,3,0,1
482,5,1,13,12,11,5,8,19,5,5,0,2,0,0
483,0,0,12,13,5,11,19,8,5,5,2,0,0,0
484,3,1,19,6,7,1,19,9,6,7,1,1,0,0
485,0,0,6,19,1,7,9,19,7,6,1,1,0,0
486,1,1,8,19,2,7,16,10,3,7,1,2,0,0
487,0,0,19,8,7,2,10,16,7,3,2,1,0,0
488,0,1,14,10,1,4,19,11,6,3,3,1,0,0
489,3,0,10,14,4,1,11,19,3,6,1,3,0,0
490,2,1,4,13,4,5,17,12,2,9,4,4,0,0
491,1,0,13,4,5,4,12,17,9,2,4,4,0,0
492,2,1,21,6,6,2,10,18,4,2,1,5,0,1
493,1,0,6,21,2,6,18,10,2,4,5,1,1,0
494,0,1,10,8,2,5,14,17,5,3,7,3,0,0
495,3,0,8,10,5,2,17,14,3,5,3,7,0,0
496,3,1,16,10,9,4,14,6,6,1,1,2,0,0
497,1,0,10,16,4,9,6,14,1,6,2,1,0,0
498,1,1,13,6,4,1,15,11,8,4,1,1,0,0
499,0,0,6,13,1,4,11,15,4,8,1,1,0,0
500,3,1,13,11,9,4,15,16,3,6,3,2,0,0
501,0,0,11,13,4,9,16,15,6,3,2,3,0,0
502,2,1,10,14,5,5,13,9,6,7,2,3,0,0
503,1,0,14,10,5,5,9,13,7,6,3,2,0,0
504,1,1,19,8,6,4,18,18,6,4,3,3,0,0
505,1,0,8,19,4,6,18,18,4,6,3,3,0,0
506,0,1,14,6,0,2,14,11,6,1,3,5,0,0
507,0,0,6,14,2,0,11,14,1,6,5,3,0,0
508,3,1,12,14,5,4,9,14,7,1,2,2,0,1
509,2,0,14,12,4,5,14,9,1,7,2,2,1,0
510,1,1,18,10,6,3,11,13,5,6,6,6,0,0
511,0,0,10,18,3,6,13,11,6,5,6,6,0,0
512,1,1,9,5,3,2,20,18,3,4,3,4,0,0
513,1,0,5,9,2,3,18,20,4,3,4,3,0,0
514,0,1,4,9,1,5,13,24,4,3,4,5,1,0
515,1,0,9,4,5,1,24,13,3,4,5,4,0,1
516,2,1,13,9,5,4,13,10,8,2,2,2,0,0
517,0,0,9,13,4,5,10,13,2,8,2,2,0,0
518,1,1,13,6,2,2,9,10,3,3,5,3,0,0
519,1,0,6,13,2,2,10,9,3,3,3,5,0,0
520,1,1,13,10,2,4,16,8,4,3,5,3,0,0
521,2,0,10,13,4,2,8,16,3,4,3,5,0,0
522,2,1,21,12,3,4,14,16,8,4,2,4,0,0
523,2,0,12,21,4,3,16,14,4,8,4,2,0,0
524,1,1,13,9,6,1,12,10,4,4,4,3,0,0
525,0,0,9,13,1,6,10,12,4,4,3,4,0,0
526,0,1,19,3,6,2,18,14,9,1,6,5,1,0
527,0,0,3,19,2,6,14,18,1,9,5,6,0,1
528,1,1,17,8,6,2,17,12,6,2,3,3,0,1
529,0,0,8,17,2,6,12,17,2,6,3,3,1,0
530,1,1,19,10,2,5,9,13,8,1,1,2,0,0
531,4,0,10,19,5,2,13,9,1,8,2,1,0,0
532,1,1,11,10,3,7,21,13,6,4,3,3,0,0
533,1,0,10,11,7,3,13,21,4,6,3,3,0,0
534,1,1,15,12,5,7,10,11,2,5,4,3,0,0
535,2,0,12,15,7,5,11,10,5,2,3,4,0,0
536,2,1,14,13,3,4,8,11,6,2,1,1,0,0
537,1,0,13,14,4,3,11,8,2,6,1,1,0,0
538,1,1,13,6,4,2,12,10,3,1,3,2,0,0
539,2,0,6,13,2,4,10,12,1,3,2,3,0,0
540,0,1,22,6,8,4,10,10,5,3,0,2,0,0
541,3,0,6,22,4,8,10,10,3,5,2,0,0,0
542,0,1,13,2,1,1,21,20,3,2,1,1,0,0
543,0,0,2,13,1,1,20,21,2,3,1,1,0,0
544,3,1,25,3,9,0,6,13,7,1,0,2,0,0
545,0,0,3,25,0,9,13,6,1,7,2,0,0,0
546,1,1,12,14,2,5,13,14,8,7,3,2,0,0
547,1,0,14,12,5,2,14,13,7,8,2,3,0,0
548,1,1,16,8,7,4,16,10,4,6,2,3,0,0
549,2,0,8,16,4,7,10,16,6,4,3,2,0,0
550,1,1,18,8,6,6,12,13,7,0,1,1,0,0
551,2,0,8,18,6,6,13,12,0,7,1,1,0,0
552,2,1,10,4,3,1,11,27,3,0,1,7,0,0
553,0,0,4,10,1,3,27,11,0,3,7,1,0,0
554,1,1,13,17,2,8,6,15,2,6,1,0,0,0
555,4,0,17,13,8,2,15,6,6,2,0,1,0,0
556,2,1,17,12,5,2,12,13,6,2,4,5,0,0
557,1,0,12,17,2,5,13,12,2,6,5,4,0,0
558,1,1,13,9,4,3,10,15,4,10,2,3,0,0
559,1,0,9,13,3,4,15,10,10,4,3,2,0,0
560,2,1,7,9,4,0,14,11,5,5,2,1,0,0
561,0,0,9,7,0,4,11,14,5,5,1,2,0,0
562,2,1,18,7,5,6,12,9,5,0,1,2,0,0
563,2,0,7,18,6,5,9,12,0,5,2,1,0,0
564,0,1,16,13,4,5,17,15,5,6,3,1,0,0
565,0,0,13,16,5,4,15,17,6,5,1,3,0,0
566,1,1,9,13,2,3,7,8,8,5,1,1,0,0
567,0,0,13,9,3,2,8,7,5,8,1,1,0,0
568,0,1,7,10,4,5,13,11,6,10,1,1,0,0
569,1,0,10,7,5,4,11,13,10,6,1,1,0,0
570,2,1,19,16,9,4,16,12,6,10,1,1,0,0
571,0,0,16,19,4,9,12,16,10,6,1,1,0,0
572,1,1,10,20,5,8,13,11,4,7,2,3,0,0
573,4,0,20,10,8,5,11,13,7,4,3,2,0,0
574,0,1,19,14,2,6,13,14,4,5,3,2,0,0
575,0,0,14,19,6,2,14,13,5,4,2,3,0,0
576,2,1,14,9,4,4,17,17,3,2,2,2,0,0
577,2,0,9,14,4,4,17,17,2,3,2,2,0,0
578,1,1,15,21,6,9,14,8,7,7,2,3,0,0
579,2,0,21,15,9,6,8,14,7,7,3,2,0,0
580,2,1,8,7,2,2,18,15,4,2,3,2,0,0
581,1,0,7,8,2,2,15,18,2,4,2,3,0,0
582,0,1,12,7,3,4,22,14,6,7,3,1,0,0
583,0,0,7,12,4,3,14,22,7,6,1,3,0,0
584,0,1,13,14,3,6,15,11,7,2,3,2,0,0
585,1,0,14,13,6,3,11,15,2,7,2,3,0,0
586,2,1,10,9,4,0,12,14,2,8,4,5,0,1
587,0,0,9,10,0,4,14,12,8,2,5,4,1,0
588,4,1,17,8,8,3,11,11,8,1,1,1,0,0
589,1,0,8,17,3,8,11,11,1,8,1,1,0,0
590,2,1,8,11,5,7,19,13,0,12,4,3,0,0
591,1,0,11,8,7,5,13,19,12,0,3,4,0,0
592,8,1,31,7,15,3,6,12,9,4,1,2,0,0
593,2,0,7,31,3,15,12,6,4,9,2,1,0,0
594,1,1,11,8,3,2,15,17,5,8,3,6,0,1
595,0,0,8,11,2,3,17,15,8,5,6,3,1,0
596,2,1,13,18,4,5,14,10,3,5,4,2,1,0
597,2,0,18,13,5,4,10,14,5,3,2,4,0,1
598,0,1,14,14,4,2,16,18,6,3,2,1,0,0
599,1,0,14,14,2,4,18,16,3,6,1,2,0,0
600,1,1,11,16,3,6,18,6,1,2,6,2,0,0
601,1,0,16,11,6,3,6,18,2,1,2,6,0,0
602,1,1,18,12,9,3,5,21,14,3,2,2,0,0
603,1,0,12,18,3,9,21,5,3,14,2,2,0,0
604,1,1,8,12,5,6,18,8,1,6,1,1,0,0
605,2,0,12,8,6,5,8,18,6,1,1,1,0,0
606,0,1,12,11,2,6,22,9,5,4,6,3,0,0
607,0,0,11,12,6,2,9,22,4,5,3,6,0,0
608,1,1,22,16,9,4,17,13,5,4,1,2,0,0
609,0,0,16,22,4,9,13,17,4,5,2,1,0,0
610,0,1,16,9,3,3,16,9,6,1,4,3,0,0
611,1,0,9,16,3,3,9,16,1,6,3,4,0,0
612,0,1,15,10,1,5,10,22,7,1,3,6,0,0
613,2,0,10,15,5,1,22,10,1,7,6,3,0,0
614,0,1,15,10,5,4,9,12,7,2,3,2,0,0
615,1,0,10,15,4,5,12,9,2,7,2,3,0,0
616,3,1,11,20,6,7,15,11,3,1,1,3,0,1
617,2,0,20,11,7,6,11,15,1,3,3,1,1,0
618,0,1,13,7,3,1,16,12,7,5,5,3,0,2
619,1,0,7,13,1,3,12,16,5,7,3,5,2,0
620,3,1,12,14,5,4,9,11,7,8,2,2,0,0
621,3,0,14,12,4,5,11,9,8,7,2,2,0,0
622,1,1,14,4,3,2,16,17,5,2,1,1,0,0
623,0,0,4,14,2,3,17,16,2,5,1,1,0,0
624,0,1,11,7,2,4,12,15,1,5,1,2,1,0
625,2,0,7,11,4,2,15,12,5,1,2,1,0,1
626,1,1,19,10,5,3,5,16,8,3,2,2,0,0
627,0,0,10,19,3,5,16,5,3,8,2,2,0,0
628,1,1,13,11,4,7,14,12,8,4,1,2,1,0
629,5,0,11,13,7,4,12,14,4,8,2,1,0,1
630,2,1,22,7,11,6,9,16,8,2,3,5,1,0
631,2,0,7,22,6,11,16,9,2,8,5,3,0,1
632,2,1,15,7,3,4,13,20,6,1,2,7,0,1
633,2,0,7,15,4,3,20,13,1,6,7,2,1,0
634,2,1,19,20,10,9,5,18,8,4,1,1,0,0
635,6,0,20,19,9,10,18,5,4,8,1,1,0,0
636,0,1,11,12,1,2,12,12,8,6,4,1,0,1
637,0,0,12,11,2,1,12,12,6,8,1,4,1,0
638,3,1,17,8,5,1,1,14,4,3,0,2,0,0
639,0,0,8,17,1,5,14,1,3,4,2,0,0,0
640,1,1,9,8,5,1,8,8,4,3,2,2,0,0
641,0,0,8,9,1,5,8,8,3,4,2,2,0,0
642,2,1,16,11,6,6,12,18,8,5,4,3,0,0
643,2,0,11,16,6,6,18,12,5,8,3,4,0,0
644,0,1,12,19,2,6,3,14,6,4,1,1,0,0
645,3,0,19,12,6,2,14,3,4,6,1,1,0,0
646,2,1,10,9,6,5,15,11,4,5,4,2,0,0
647,1,0,9,10,5,6,11,15,5,4,2,4,0,0
648,3,1,16,21,7,3,16,12,5,6,3,4,0,0
649,0,0,21,16,3,7,12,16,6,5,4,3,0,0
650,1,1,14,9,5,3,18,7,0,2,1,3,0,0
651,1,0,9,14,3,5,7,18,2,0,3,1,0,0
652,1,1,15,13,2,5,8,22,5,7,4,2,0,0
653,1,0,13,15,5,2,22,8,7,5,2,4,0,0
654,0,1,8,14,2,6,17,14,5,1,1,3,0,0
655,1,0,14,8,6,2,14,17,1,5,3,1,0,0
656,2,1,20,9,6,4,17,10,8,6,1,4,0,1
657,1,0,9,20,4,6,10,17,6,8,4,1,1,0
658,2,1,11,12,5,5,13,16,5,3,3,3,0,0
659,2,0,12,11,5,5,16,13,3,5,3,3,0,0
660,1,1,20,8,8,2,9,18,4,3,3,3,0,0
661,1,0,8,20,2,8,18,9,3,4,3,3,0,0
662,1,1,15,7,2,5,16,9,6,3,2,3,0,0
663,3,0,7,15,5,2,9,16,3,6,3,2,0,0
664,0,1,15,8,6,3,7,17,8,6,3,4,0,0
665,0,0,8,15,3,6,17,7,6,8,4,3,0,0
666,0,1,10,9,5,2,13,18,3,0,3,5,0,0
667,1,0,9,10,2,5,18,13,0,3,5,3,0,0
668,1,1,17,11,4,5,7,10,7,1,0,4,0,0
669,0,0,11,17,5,4,10,7,1,7,4,0,0,0
670,1,1,13,14,6,4,14,14,5,5,4,2,0,0
671,1,0,14,13,4,6,14,14,5,5,2,4,0,0
672,2,1,14,14,4,2,22,19,9,4,7,1,0,0
673,1,0,14,14,2,4,19,22,4,9,1,7,0,0
674,0,1,27,9,7,3,17,12,7,2,3,3,0,0
675,1,0,9,27,3,7,12,17,2,7,3,3,0,0
676,1,1,8,12,2,4,13,15,3,9,2,2,0,0
677,1,0,12,8,4,2,15,13,9,3,2,2,0,0
678,1,1,13,6,5,3,15,19,11,0,6,5,0,0
679,3,0,6,13,3,5,19,15,0,11,5,6,0,0
680,1,1,8,13,4,6,20,10,4,3,1,0,0,0
681,0,0,13,8,6,4,10,20,3,4,0,1,0,0
682,0,1,15,12,4,3,17,18,10,2,4,5,1,0
683,1,0,12,15,3,4,18,17,2,10,5,4,0,1
684,2,1,10,12,3,4,9,17,4,9,3,6,0,0
685,3,0,12,10,4,3,17,9,9,4,6,3,0,0
686,1,1,13,6,4,2,12,12,6,4,1,4,0,1
687,0,0,6,13,2,4,12,12,4,6,4,1,1,0
688,1,1,13,5,5,0,16,10,6,4,5,3,0,0
689,0,0,5,13,0,5,10,16,4,6,3,5,0,0
690,3,1,28,13,12,6,13,8,10,3,3,2,0,0
691,1,0,13,28,6,12,8,13,3,10,2,3,0,0
692,2,1,12,13,3,5,14,9,8,8,3,4,0,1
693,1,0,13,12,5,3,9,14,8,8,4,3,1,0
694,1,1,10,10,3,5,11,6,5,2,2,2,0,0
695,1,0,10,10,5,3,6,11,2,5,2,2,0,0
696,1,1,9,11,3,1,9,13,6,2,1,2,0,0
697,0,0,11,9,1,3,13,9,2,6,2,1,0,0
698,0,1,19,9,9,2,9,12,6,2,2,3,0,0
699,1,0,9,19,2,9,12,9,2,6,3,2,0,0
700,4,1,23,19,9,7,10,16,5,7,0,1,0,0
701,2,0,19,23,7,9,16,10,7,5,1,0,0,0
702,1,1,34,6,12,2,10,19,15,1,1,2,0,0
703,2,0,6,34,2,12,19,10,1,15,2,1,0,0
704,1,1,18,7,4,5,9,13,10,1,1,2,0,0
705,1,0,7,18,5,4,13,9,1,10,2,1,0,0
706,1,1,18,15,6,4,16,9,8,7,3,1,0,0
707,1,0,15,18,4,6,9,16,7,8,1,3,0,0
708,0,1,20,6,4,2,7,10,9,6,0,4,0,0
709,1,0,6,20,2,4,10,7,6,9,4,0,0,0
710,1,1,18,6,6,3,7,13,8,2,2,3,0,0
711,1,0,6,18,3,6,13,7,2,8,3,2,0,0
712,0,1,10,6,2,2,21,14,6,4,3,3,0,0
713,2,0,6,10,2,2,14,21,4,6,3,3,0,0
714,1,1,10,5,3,2,14,25,6,2,5,5,1,0
715,2,0,5,10,2,3,25,14,2,6,5,5,0,1
716,0,1,14,12,8,2,14,15,7,6,3,1,0,0
717,0,0,12,14,2,8,15,14,6,7,1,3,0,0
718,1,1,11,12,3,4,14,9,5,4,1,1,0,0
719,1,0,12,11,4,3,9,14,4,5,1,1,0,0
720,1,1,15,11,2,4,16,16,5,2,4,2,0,0
721,1,0,11,15,4,2,16,16,2,5,2,4,0,0
722,0,1,13,11,2,3,25,22,5,2,2,5,0,0
723,0,0,11,13,3,2,22,25,2,5,5,2,0,0
724,2,1,14,7,4,0,10,7,10,1,2,1,0,0
725,0,0,7,14,0,4,7,10,1,10,1,2,0,0
726,4,1,10,17,6,5,9,8,2,8,0,0,0,0
727,0,0,17,10,5,6,8,9,8,2,0,0,0,0
728,2,1,14,14,6,5,11,16,4,7,1,3,1,0
729,1,0,14,14,5,6,16,11,7,4,3,1,0,1
730,2,1,9,21,4,6,12,14,3,2,2,2,0,0
731,0,0,21,9,6,4,14,12,2,3,2,2,0,0
732,2,1,19,9,6,2,9,11,8,4,1,1,0,0
733,1,0,9,19,2,6,11,9,4,8,1,1,0,0
734,5,1,13,15,8,4,17,14,4,2,2,2,0,0
735,1,0,15,13,4,8,14,17,2,4,2,2,0,0
736,2,1,16,7,7,3,9,14,5,4,1,2,0,0
737,0,0,7,16,3,7,14,9,4,5,2,1,0,0
738,2,1,15,11,4,2,9,14,4,2,2,3,0,0
739,1,0,11,15,2,4,14,9,2,4,3,2,0,0
740,1,1,8,9,3,4,18,12,4,7,4,2,0,0
741,1,0,9,8,4,3,12,18,7,4,2,4,0,0
742,2,1,16,12,7,2,14,7,8,6,1,0,0,0
743,0,0,12,16,2,7,7,14,6,8,0,1,0,0
744,0,1,27,5,9,3,14,13,11,2,4,4,0,0
745,1,0,5,27,3,9,13,14,2,11,4,4,0,0
746,2,1,11,9,5,5,23,11,3,1,4,2,0,0
747,3,0,9,11,5,5,11,23,1,3,2,4,0,0
748,3,1,14,14,6,7,12,11,4,4,4,2,0,0
749,3,0,14,14,7,6,11,12,4,4,2,4,0,0
750,2,1,23,9,8,3,11,7,13,1,4,0,1,1
751,1,0,9,23,3,8,7,11,1,13,0,4,1,1
752,1,1,18,8,7,2,18,13,10,2,5,3,0,0
753,1,0,8,18,2,7,13,18,2,10,3,5,0,0
754,0,1,10,8,1,1,8,17,7,7,1,3,0,0
755,0,0,8,10,1,1,17,8,7,7,3,1,0,0
756,1,1,23,13,4,2,14,10,5,4,3,3,0,0
757,1,0,13,23,2,4,10,14,4,5,3,3,0,0
758,1,1,8,10,3,2,15,13,2,1,1,3,0,0
759,0,0,10,8,2,3,13,15,1,2,3,1,0,0
760,1,1,17,15,2,4,17,12,6,4,6,1,0,0
761,3,0,15,17,4,2,12,17,4,6,1,6,0,0
762,3,1,9,6,3,5,8,15,12,2,5,4,0,1
763,2,0,6,9,5,3,15,8,2,12,4,5,1,0
764,0,1,17,7,3,3,23,8,6,4,3,3,1,0
765,1,0,7,17,3,3,8,23,4,6,3,3,0,1
766,0,1,5,10,0,1,13,13,0,6,1,4,0,0
767,0,0,10,5,1,0,13,13,6,0,4,1,0,0
768,0,1,9,16,1,6,16,15,4,4,2,4,0,1
769,0,0,16,9,6,1,15,16,4,4,4,2,1,0
770,2,1,13,9,5,2,20,13,5,4,3,4,0,0
771,1,0,9,13,2,5,13,20,4,5,4,3,0,0
772,3,1,20,15,5,8,13,11,10,5,4,2,1,0
773,4,0,15,20,8,5,11,13,5,10,2,4,0,1
774,2,1,15,14,4,5,19,13,5,1,4,2,1,0
775,4,0,14,15,5,4,13,19,1,5,2,4,0,1
776,2,1,23,15,10,7,18,10,6,3,4,2,0,0
777,1,0,15,23,7,10,10,18,3,6,2,4,0,0
778,2,1,15,11,7,5,7,12,8,4,1,3,0,1
779,2,0,11,15,5,7,12,7,4,8,3,1,1,0
780,1,1,13,7,6,2,10,13,5,3,2,4,0,0
781,0,0,7,13,2,6,13,10,3,5,4,2,0,0
782,1,1,3,8,1,2,19,12,2,8,5,3,0,0
783,1,0,8,3,2,1,12,19,8,2,3,5,0,0
784,3,1,14,9,8,3,17,8,5,4,2,1,0,0
785,0,0,9,14,3,8,8,17,4,5,1,2,0,0
786,2,1,32,5,12,3,11,8,7,2,4,3,1,0
787,2,0,5,32,3,12,8,11,2,7,3,4,0,1
788,3,1,13,13,10,3,15,14,6,5,2,4,0,1
789,0,0,13,13,3,10,14,15,5,6,4,2,1,0
790,1,1,8,15,4,2,10,12,2,2,5,4,0,0
791,1,0,15,8,2,4,12,10,2,2,4,5,0,0
792,1,1,18,16,10,11,16,14,8,3,3,4,0,0
793,3,0,16,18,11,10,14,16,3,8,4,3,0,0
794,1,1,17,13,9,5,15,15,8,6,3,3,0,0
795,0,0,13,17,5,9,15,15,6,8,3,3,0,0
796,2,1,13,13,8,6,15,13,5,4,2,1,0,0
797,1,0,13,13,6,8,13,15,4,5,1,2,0,0
798,2,1,15,6,8,2,12,14,6,2,2,2,0,0
799,1,0,6,15,2,8,14,12,2,6,2,2,0,0
800,1,1,5,13,2,5,15,12,1,4,5,3,0,0
801,0,0,13,5,5,2,12,15,4,1,3,5,0,0
802,2,1,12,8,5,3,14,14,4,4,2,3,0,0
803,0,0,8,12,3,5,14,14,4,4,3,2,0,0
804,3,1,14,8,5,2,17,16,7,4,3,2,0,0
805,0,0,8,14,2,5,16,17,4,7,2,3,0,0
806,2,1,13,7,3,2,11,10,2,2,1,3,0,0
807,0,0,7,13,2,3,10,11,2,2,3,1,0,0
808,2,1,20,14,6,5,5,13,6,5,0,3,0,0
809,4,0,14,20,5,6,13,5,5,6,3,0,0,0
810,1,1,11,14,3,3,21,14,2,5,3,3,0,0
811,1,0,14,11,3,3,14,21,5,2,3,3,0,0
812,2,1,16,12,7,2,9,17,11,1,2,4,0,0
813,0,0,12,16,2,7,17,9,1,11,4,2,0,0
814,1,1,6,6,4,4,18,18,6,4,4,2,0,0
815,0,0,6,6,4,4,18,18,4,6,2,4,0,0
816,1,1,13,17,3,3,8,16,2,9,0,5,0,0
817,1,0,17,13,3,3,16,8,9,2,5,0,0,0
818,3,1,17,12,7,3,11,15,2,6,3,5,0,1
819,0,0,12,17,3,7,15,11,6,2,5,3,1,0
820,1,1,17,6,5,2,12,13,7,2,1,2,1,0
821,1,0,6,17,2,5,13,12,2,7,2,1,0,1
822,3,1,12,13,5,3,20,15,5,5,5,4,0,0
823,0,0,13,12,3,5,15,20,5,5,4,5,0,0
824,0,1,15,17,3,9,16,10,11,4,1,0,0,0
825,4,0,17,15,9,3,10,16,4,11,0,1,0,0
826,1,1,16,11,6,3,13,17,6,4,0,4,0,0
827,1,0,11,16,3,6,17,13,4,6,4,0,0,0
828,2,1,13,14,3,7,12,10,6,1,3,3,0,0
829,3,0,14,13,7,3,10,12,1,6,3,3,0,0
830,2,1,8,12,3,3,13,20,2,9,2,3,0,0
831,0,0,12,8,3,3,20,13,9,2,3,2,0,0
832,4,1,32,14,7,5,11,7,12,3,2,2,0,0
833,4,0,14,32,5,7,7,11,3,12,2,2,0,0
834,0,1,11,5,4,4,12,10,11,6,2,2,0,0
835,1,0,5,11,4,4,10,12,6,11,2,2,0,0
836,1,1,23,10,5,6,9,16,11,6,2,2,0,0
837,2,0,10,23,6,5,16,9,6,11,2,2,0,0
838,1,1,25,3,10,1,17,15,11,0,3,1,0,0
839,0,0,3,25,1,10,15,17,0,11,1,3,0,0
840,0,1,15,5,2,2,11,11,10,0,3,3,0,0
841,0,0,5,15,2,2,11,11,0,10,3,3,0,0
842,1,1,18,11,6,4,11,15,4,2,0,1,0,0
843,1,0,11,18,4,6,15,11,2,4,1,0,0,0
844,1,1,9,9,2,4,24,14,2,3,3,4,0,0
845,0,0,9,9,4,2,14,24,3,2,4,3,0,0
846,1,1,9,11,4,3,15,18,4,4,0,3,0,0
847,0,0,11,9,3,4,18,15,4,4,3,0,0,0
848,2,1,8,14,2,5,16,13,9,3,4,1,0,0
849,3,0,14,8,5,2,13,16,3,9,1,4,0,0
850,1,1,10,12,3,5,23,10,0,4,3,4,0,0
851,3,0,12,10,5,3,10,23,4,0,4,3,0,0
852,2,1,30,10,13,5,12,11,13,2,4,5,0,1
853,2,0,10,30,5,13,11,12,2,13,5,4,1,0
854,0,1,20,16,6,9,12,9,15,3,2,3,1,0
855,5,0,16,20,9,6,9,12,3,15,3,2,0,1
856,2,1,17,8,5,2,18,12,5,3,2,1,0,0
857,0,0,8,17,2,5,12,18,3,5,1,2,0,0
858,0,1,11,6,2,3,16,13,5,3,2,2,0,0
859,0,0,6,11,3,2,13,16,3,5,2,2,0,0
860,1,1,12,5,4,2,9,13,4,1,1,2,0,0
861,1,0,5,12,2,4,13,9,1,4,2,1,0,0
862,0,1,18,9,4,3,14,11,10,1,2,4,0,0
863,1,0,9,18,3,4,11,14,1,10,4,2,0,0
864,1,1,8,5,3,2,25,12,3,1,3,2,0,0
865,1,0,5,8,2,3,12,25,1,3,2,3,0,0
866,1,1,8,18,5,4,16,13,5,9,1,1,0,0
867,0,0,18,8,4,5,13,16,9,5,1,1,0,0
868,2,1,9,11,5,1,14,15,4,6,0,1,0,0
869,0,0,11,9,1,5,15,14,6,4,1,0,0,0
870,1,1,4,15,2,4,11,13,4,11,2,4,0,0
871,1,0,15,4,4,2,13,11,11,4,4,2,0,0
872,1,1,13,8,4,2,14,9,3,6,3,3,0,1
873,1,0,8,13,2,4,9,14,6,3,3,3,1,0
874,2,1,19,11,8,4,14,15,12,5,7,4,0,0
875,1,0,11,19,4,8,15,14,5,12,4,7,0,0
876,2,1,18,12,8,7,13,10,3,5,2,2,0,0
877,1,0,12,18,7,8,10,13,5,3,2,2,0,0
878,2,1,12,14,4,7,12,13,6,4,2,2,0,0
879,2,0,14,12,7,4,13,12,4,6,2,2,0,0
880,1,1,12,10,1,2,10,17,3,6,2,5,0,1
881,0,0,10,12,2,1,17,10,6,3,5,2,1,0
882,2,1,19,9,8,2,18,16,8,2,3,1,1,0
883,2,0,9,19,2,8,16,18,2,8,1,3,0,1
884,2,1,14,14,5,2,10,13,2,6,3,3,0,0
885,1,0,14,14,2,5,13,10,6,2,3,3,0,0
886,2,1,11,7,6,1,21,7,4,6,3,2,0,0
887,1,0,7,11,1,6,7,21,6,4,2,3,0,0
888,0,1,12,9,5,5,16,23,9,5,0,3,0,0
889,1,0,9,12,5,5,23,16,5,9,3,0,0,0
890,0,1,24,7,6,4,12,17,13,1,0,2,0,0
891,0,0,7,24,4,6,17,12,1,13,2,0,0,0
892,1,1,10,12,2,8,23,12,4,4,4,3,0,0
893,2,0,12,10,8,2,12,23,4,4,3,4,0,0
894,0,1,28,12,8,4,13,13,10,4,5,1,1,0
895,2,0,12,28,4,8,13,13,4,10,1,5,0,1
896,1,1,15,12,5,7,15,11,4,5,5,7,0,0
897,1,0,12,15,7,5,11,15,5,4,7,5,0,0
898,1,1,17,8,3,4,16,21,3,2,2,5,0,0
899,2,0,8,17,4,3,21,16,2,3,5,2,0,0
900,4,1,11,13,8,4,12,8,7,5,4,1,0,0
901,2,0,13,11,4,8,8,12,5,7,1,4,0,0
902,1,1,9,15,4,4,21,14,6,3,4,2,0,0
903,1,0,15,9,4,4,14,21,3,6,2,4,0,0
904,1,1,14,9,7,3,11,9,4,4,3,3,0,0
